Date,Open,High,Low,Close,Volume,Label,Buy to open,Buy to close,Sell to open,Sell to close,Position,Cost,Invest Amt,Duration,Profit,Profit %,Cum Profit,Principle,Daily Return
2020-01-08,315.98482220578967,318.7636533543287,315.7206479633989,317.4623107910156,68296000,1,1,0,0,0,22.0,317.4623107910156,6984.170837402344,1,0.0,0.0,0.0,10000.0,0.0
2020-01-09,319.1354309465891,319.69316190996534,318.50920042062666,319.6148681640625,48473300,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,2,0.0,0.0,0.0,10047.356262207031,0.004735626220703226
2020-01-10,320.24111743328865,320.4074393975154,318.19613364153406,318.69512939453125,53029300,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,3,0.0,0.0,0.0,10027.122009277344,-0.002013888270867681
2020-01-13,319.3604718341886,320.8966356603937,318.90059314651467,320.8868713378906,47086800,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,4,0.0,0.0,0.0,10075.34033203125,0.004808789871041164
2020-01-14,320.4172330679785,321.5424593817874,319.80079669024127,320.3976745605469,62832800,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,5,0.0,0.0,0.0,10064.578002929688,-0.001068185167636182
2020-01-15,320.2997989446232,321.9338150753419,320.2117408771277,321.1217041015625,72056600,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,6,0.0,0.0,0.0,10080.506652832031,0.0015826445875533057
2020-01-16,322.5992123655369,323.7929382324219,322.35459665396473,323.7929382324219,54050300,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,7,0.0,0.0,0.0,10139.273803710938,0.0058297814686125715
2020-01-17,324.5561655177317,325.02580861308275,323.72446605595565,324.80078125,95846000,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,8,0.0,0.0,0.0,10161.446350097656,0.0021867982674068642
2020-01-21,323.7733851951372,325.02581658063986,323.6951212974332,324.1647644042969,77742400,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,9,0.0,0.0,0.0,10147.453979492188,-0.001377005804428011
2020-01-22,325.0844679612644,325.7791980419477,324.0375354692658,324.203857421875,48914900,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,10,0.0,0.0,0.0,10148.314025878906,8.475489403125813e-05
2020-01-23,323.50919313445706,325.0160343600876,322.3154672030413,324.5757141113281,51963000,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,11,0.0,0.0,0.0,10156.494873046875,0.000806128697545816
2020-01-24,325.28018065448333,325.3682387246082,320.3095728317876,321.689208984375,87578400,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,12,0.0,0.0,0.0,10092.991760253906,-0.006252463432191768
2020-01-27,316.072866607967,318.1178504677124,315.71084011580734,316.5327453613281,84062500,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,13,0.0,0.0,0.0,9979.549560546875,-0.011239700021728471
2020-01-28,318.05912773000364,320.7890474088997,316.6305803474187,319.8497314453125,63834000,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,14,0.0,0.0,0.0,10052.523254394531,0.00731232340747634
2020-01-29,321.30761431185687,321.55223000825606,319.3702472466624,319.58551025390625,53888900,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,15,0.0,0.0,0.0,10046.710388183594,-0.0005782494667093685
2020-01-30,317.374207235026,320.8477683950392,316.5718903626886,320.6227111816406,75491800,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,16,0.0,0.0,0.0,10069.52880859375,0.002271233023397823
2020-01-31,319.9573614252248,320.1237132531904,313.82240992375813,314.8008728027344,113845600,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,17,0.0,0.0,0.0,9941.448364257812,-0.012719606524848381
2020-02-03,316.3859985805052,319.1354770614175,316.2587936202684,317.139404296875,69242300,1,0,0,0,0,22.0,317.4623107910156,6984.170837402344,18,0.0,0.0,0.0,9992.896057128906,0.005175070169459728
2020-02-04,321.00429282458623,322.9025130150292,320.6618248780047,321.97296142578125,62573200,-1,0,0,0,1,22.0,317.4623107910156,6984.170837402344,19,99.23431396484375,0.01,99.23431396484375,10099.234313964844,0.01064138526289149
2020-02-05,325.1138420905681,325.9161887981673,323.548325410776,325.6911315917969,65951100,1,1,0,0,0,21.0,325.6911315917969,6839.513763427734,1,0.0,0.0,99.23431396484375,10099.234313964844,0.0
2020-02-06,326.7185182595535,326.9924866500871,325.6324090204389,326.7870178222656,50359700,1,0,0,0,0,21.0,325.6911315917969,6839.513763427734,2,0.0,0.0,99.23431396484375,10122.247924804688,0.0022787480837058727
2020-02-07,325.65199127014336,326.79677600681714,324.4582654780309,325.0453491210937,64139400,1,0,0,0,0,21.0,325.6911315917969,6839.513763427734,3,0.0,0.0,99.23431396484375,10085.672882080076,-0.0036133320381319667
2020-02-10,324.09627527606546,327.5404539147904,324.0571283993988,327.4719543457031,42070000,1,0,0,0,0,21.0,325.6911315917969,6839.513763427734,4,0.0,0.0,99.23431396484375,10136.631591796875,0.005052584028115925
2020-02-11,328.9200698069085,329.76153351105927,327.47193406311146,328.0394592285156,54864500,1,0,0,0,0,21.0,325.6911315917969,6839.513763427734,5,0.0,0.0,99.23431396484375,10148.549194335938,0.0011756965251363827
